"class","npixels","year","areaHa","scenario","rep"
"9",251275,2043,22614.75,"Current","Rep1"
"10",28011,2043,2520.99,"Current","Rep1"
"11",290184,2043,26116.56,"Current","Rep1"
"12",280198,2043,25217.82,"Current","Rep1"
"13",5378,2043,484.02,"Current","Rep1"
"0",5445124,2044,490061.16,"Current","Rep1"
"1",1756685,2044,158101.65,"Current","Rep1"
"2",158158,2044,14234.22,"Current","Rep1"
"3",597698,2044,53792.82,"Current","Rep1"
"4",98386,2044,8854.74,"Current","Rep1"
"5",96255,2044,8662.95,"Current","Rep1"
"6",298811,2044,26892.99,"Current","Rep1"
"7",67065,2044,6035.85,"Current","Rep1"
"8",152297,2044,13706.73,"Current","Rep1"
"9",249004,2044,22410.36,"Current","Rep1"
"10",27556,2044,2480.04,"Current","Rep1"
"11",288256,2044,25943.04,"Current","Rep1"
"12",279352,2044,25141.68,"Current","Rep1"
"13",5357,2044,482.13,"Current","Rep1"
"0",5443683,2045,489931.47,"Current","Rep1"
"1",1760646,2045,158458.14,"Current","Rep1"
"2",157736,2045,14196.24,"Current","Rep1"
"3",607030,2045,54632.7,"Current","Rep1"
"4",95220,2045,8569.8,"Current","Rep1"
"5",96191,2045,8657.19,"Current","Rep1"
"6",299252,2045,26932.68,"Current","Rep1"
"7",67110,2045,6039.9,"Current","Rep1"
"8",152305,2045,13707.45,"Current","Rep1"
"9",242179,2045,21796.11,"Current","Rep1"
"10",27452,2045,2470.68,"Current","Rep1"
"11",286135,2045,25752.15,"Current","Rep1"
"12",279709,2045,25173.81,"Current","Rep1"
"13",5356,2045,482.04,"Current","Rep1"
"0",5442678,2046,489841.02,"Current","Rep1"
"1",1765986,2046,158938.74,"Current","Rep1"
"2",157183,2046,14146.47,"Current","Rep1"
"3",609575,2046,54861.75,"Current","Rep1"
"4",92749,2046,8347.41,"Current","Rep1"
"5",95920,2046,8632.8,"Current","Rep1"
"6",300095,2046,27008.55,"Current","Rep1"
"7",67152,2046,6043.68,"Current","Rep1"
"8",152388,2046,13714.92,"Current","Rep1"
"9",241620,2046,21745.8,"Current","Rep1"
"10",27341,2046,2460.69,"Current","Rep1"
"11",282112,2046,25390.08,"Current","Rep1"
"12",279845,2046,25186.05,"Current","Rep1"
"13",5360,2046,482.4,"Current","Rep1"
"0",5441346,2047,489721.14,"Current","Rep1"
"1",1767608,2047,159084.72,"Current","Rep1"
"2",156851,2047,14116.59,"Current","Rep1"
"3",614427,2047,55298.43,"Current","Rep1"
"4",87130,2047,7841.7,"Current","Rep1"
"5",95629,2047,8606.61,"Current","Rep1"
"6",301681,2047,27151.29,"Current","Rep1"
"7",67198,2047,6047.82,"Current","Rep1"
"8",153481,2047,13813.29,"Current","Rep1"
"9",241333,2047,21719.97,"Current","Rep1"
"10",27220,2047,2449.8,"Current","Rep1"
"11",280674,2047,25260.66,"Current","Rep1"
"12",280065,2047,25205.85,"Current","Rep1"
"13",5361,2047,482.49,"Current","Rep1"
"0",5440004,2048,489600.36,"Current","Rep1"
"1",1769645,2048,159268.05,"Current","Rep1"
"2",156867,2048,14118.03,"Current","Rep1"
"3",615118,2048,55360.62,"Current","Rep1"
"4",85743,2048,7716.87,"Current","Rep1"
"5",95442,2048,8589.78,"Current","Rep1"
"6",303102,2048,27279.18,"Current","Rep1"
"7",67240,2048,6051.6,"Current","Rep1"
"8",156076,2048,14046.84,"Current","Rep1"
"9",240483,2048,21643.47,"Current","Rep1"
"10",27107,2048,2439.63,"Current","Rep1"
"11",277439,2048,24969.51,"Current","Rep1"
"12",280375,2048,25233.75,"Current","Rep1"
"13",5363,2048,482.67,"Current","Rep1"
"0",5448874,2049,490398.66,"Current","Rep1"
"1",1767355,2049,159061.95,"Current","Rep1"
"2",158028,2049,14222.52,"Current","Rep1"
"3",614754,2049,55327.86,"Current","Rep1"
"4",83494,2049,7514.46,"Current","Rep1"
"5",95225,2049,8570.25,"Current","Rep1"
"6",305132,2049,27461.88,"Current","Rep1"
"7",67664,2049,6089.76,"Current","Rep1"
"8",156043,2049,14043.87,"Current","Rep1"
"9",237299,2049,21356.91,"Current","Rep1"
"10",26672,2049,2400.48,"Current","Rep1"
"11",274464,2049,24701.76,"Current","Rep1"
"12",279674,2049,25170.66,"Current","Rep1"
"13",5326,2049,479.34,"Current","Rep1"
"0",5447510,2050,490275.9,"Current","Rep1"
"1",1770028,2050,159302.52,"Current","Rep1"
"2",157953,2050,14215.77,"Current","Rep1"
"3",615748,2050,55417.32,"Current","Rep1"
"4",83247,2050,7492.23,"Current","Rep1"
"5",95135,2050,8562.15,"Current","Rep1"
"6",308046,2050,27724.14,"Current","Rep1"
"7",67701,2050,6093.09,"Current","Rep1"
"8",156053,2050,14044.77,"Current","Rep1"
"9",233740,2050,21036.6,"Current","Rep1"
"10",26572,2050,2391.48,"Current","Rep1"
"11",272982,2050,24568.38,"Current","Rep1"
"12",279959,2050,25196.31,"Current","Rep1"
"13",5330,2050,479.7,"Current","Rep1"
"0",5446239,2051,490161.51,"Current","Rep1"
"1",1772361,2051,159512.49,"Current","Rep1"
"2",157830,2051,14204.7,"Current","Rep1"
