Time,EcoName,ActiveCount,AvgLiveB,AvgAG_NPP,AvgLitterB,AvgDefoliation,
101, 40, 52088, 10370.5064314237, 298.769825315083, 176.052564890186, 0, 
101, 45, 46044, 10983.8310746243, 303.632474051455, 163.691555903049, 0, 
101, 52, 179922, 8027.83881904381, 245.225755784021, 110.436255710808, 0, 
101, 53, 78866, 7262.69126112647, 245.276291684764, 111.789199401517, 0, 
101, 62, 8624, 11087.1370593692, 331.543269975525, 199.012523191095, 0, 
101, 65, 12462, 5009.42489167068, 194.347809363723, 103.557053442465, 0, 
101, 79, 32523, 11052.4491898041, 302.539196721961, 165.569535405713, 0, 
101, 80, 42117, 10271.1299950139, 281.827012949223, 170.981955030035, 0, 
101, 88, 5372, 8011.15729709605, 254.318833432156, 118.635889798958, 0, 
102, 2, 10512, 11657.4208523592, 345.822902021415, 215.415334855403, 0, 
102, 3, 6756, 11576.2750148017, 343.433269777424, 222.550325636471, 0, 
102, 4, 22531, 11140.2234698859, 324.34090073464, 210.047312591541, 0, 
102, 5, 21273, 11120.4373619142, 308.693660129208, 194.737836694401, 0, 
102, 7, 51231, 10290.8676777732, 271.99899391336, 170.071343522477, 0, 
102, 8, 136297, 10229.3583277695, 267.153574009955, 173.778476415475, 0, 
102, 11, 115650, 10325.1605274535, 282.279846258222, 170.210566364029, 0, 
102, 12, 55809, 10412.911215037, 282.301015525627, 176.636779014138, 0, 
102, 14, 1269169, 10453.3689067413, 290.819578149358, 153.560127926226, 0, 
102, 17, 931229, 10299.8719584549, 280.216358310842, 130.38100402801, 0, 
102, 20, 740833, 10207.8032188091, 262.660877752761, 119.604034917451, 0, 
102, 24, 31026, 6957.2793785857, 214.94933531599, 100.9079481725, 0, 
102, 25, 55690, 5930.09130903214, 191.031341344069, 92.4123361465254, 0, 
102, 26, 5094, 6404.88142913231, 197.382195681889, 94.6009030231645, 0, 
102, 27, 26357, 5016.97602155025, 167.748138440917, 84.5622415297644, 0, 
102, 28, 7166, 5019.92729556238, 184.737153938319, 96.7029025955903, 0, 
102, 31, 4108, 4297.06596884129, 194.745567072389, 105.854673807205, 0, 
102, 33, 55919, 10578.4597006384, 292.990029733594, 184.654947334537, 0, 
102, 35, 3291, 11134.0388939532, 345.520401772731, 199.23579459131, 0, 
102, 36, 1891, 11135.647805394, 319.60571519752, 191.382337387626, 0, 
102, 37, 78234, 10139.2413017358, 265.83947126267, 167.603369379042, 0, 
102, 38, 36436, 10473.9843835767, 294.412185540727, 188.03908222637, 0, 
102, 40, 52088, 10218.7436453694, 282.045548354389, 170.650034556904, 0, 
102, 45, 46044, 10800.5162236122, 285.941964671408, 158.223438450178, 0, 
102, 52, 179922, 7920.95667567057, 232.147299684732, 106.295944909461, 0, 
102, 53, 78866, 7183.97161007278, 232.124198637201, 107.989551898156, 0, 
102, 62, 8624, 10956.8767393321, 318.675299890864, 194.504638218924, 0, 
102, 65, 12462, 5020.29802599904, 190.60294034902, 102.253651099342, 0, 
102, 79, 32523, 10863.2790947945, 285.531225838006, 159.760354210866, 0, 
102, 80, 42117, 10092.3241683881, 267.068960117656, 166.117767172401, 0, 
102, 88, 5372, 7938.57985852569, 243.157129854316, 115.413812360387, 0, 
103, 2, 10512, 11512.3282914764, 324.339111076834, 208.674562404871, 0, 
103, 3, 6756, 11433.3331853168, 323.995360901141, 215.896092362345, 0, 
103, 4, 22531, 10993.4585681949, 307.559471563847, 204.247037415117, 0, 
103, 5, 21273, 10970.7531612843, 299.157988965337, 190.300474780238, 0, 
103, 7, 51231, 10115.9526653784, 267.722073851512, 166.586363725088, 0, 
103, 8, 136297, 10058.7690704858, 268.793499772652, 171.724806855617, 0, 
103, 11, 115650, 10161.9683873757, 277.576647635526, 166.513860786857, 0, 
103, 12, 55809, 10243.426562024, 277.749162205641, 172.780196742461, 0, 
103, 14, 1269169, 10296.4585528011, 282.403687302642, 148.873297409565, 0, 
103, 17, 931229, 10139.0406215872, 274.864567613593, 126.235212820907, 0, 
103, 20, 740833, 10050.5945199525, 260.669078527651, 116.265223066467, 0, 
103, 24, 31026, 6879.74427899181, 216.699245185915, 99.5546960613679, 0, 
103, 25, 55690, 5875.24074340097, 193.386531631826, 91.5040581792063, 0, 
103, 26, 5094, 6338.23733804476, 200.234245125126, 93.4976442873969, 0, 
103, 27, 26357, 4986.30033767121, 173.342882625446, 84.614751299465, 0, 
103, 28, 7166, 5030.20346078705, 191.757511924635, 97.545771699693, 0, 
103, 31, 4108, 4334.76387536514, 192.172972439088, 105.097370983447, 0, 
103, 33, 55919, 10427.2185661403, 286.651497269184, 180.834313918346, 0, 
103, 35, 3291, 11019.0698875722, 337.37707553452, 195.275296262534, 0, 
103, 36, 1891, 11009.9069275516, 313.198771714213, 187.625066102591, 0, 
103, 37, 78234, 9972.580387044, 265.841114962588, 164.98530050873, 0, 
103, 38, 36436, 10322.7543912614, 282.533959504962, 183.05546712043, 0, 
103, 40, 52088, 10064.1106780832, 273.735031504247, 165.991111196437, 0, 
103, 45, 46044, 10616.7738467553, 281.351308958911, 154.309834071757, 0, 
103, 52, 179922, 7816.15354987161, 232.77398007407, 104.198880626049, 0, 
103, 53, 78866, 7106.39127127026, 232.333398722544, 105.983972814648, 0, 
103, 62, 8624, 10816.2360853432, 301.500379588798, 188.584415584416, 0, 
103, 65, 12462, 5032.65037714653, 193.267183455916, 102.055127587867, 0, 
103, 79, 32523, 10672.3685084402, 279.823334488807, 155.442179380746, 0, 
103, 80, 42117, 9913.5227580312, 262.385207118679, 162.461785027424, 0, 
103, 88, 5372, 7868.2773641102, 243.476073201951, 113.759865971705, 0, 
104, 2, 10512, 11350.8837519026, 295.231393729883, 197.993436073059, 0, 
104, 3, 6756, 11272.7929248076, 293.583615698184, 204.890763765542, 0, 
104, 4, 22531, 10830.4293196041, 278.90699153169, 194.357507434202, 0, 
104, 5, 21273, 10801.867390589, 268.339733125236, 180.844967799558, 0, 
104, 7, 51231, 9933.77172024751, 251.285969805898, 160.917413284925, 0, 
104, 8, 136297, 9873.86469988334, 243.679959055354, 164.967108593733, 0, 
104, 11, 115650, 9999.08223951578, 272.592466596141, 163.281582360571, 0, 
104, 12, 55809, 10072.5486570266, 269.699630295895, 168.684298231468, 0, 
104, 14, 1269169, 10147.5806783809, 288.259280960282, 147.354094687154, 0, 
104, 17, 931229, 9988.35697664055, 283.779862248616, 125.655480016194, 0, 
104, 20, 740833, 9901.18102460339, 266.884283163741, 115.565543111605, 0, 
104, 24, 31026, 6807.52091793979, 220.693550841716, 99.3673693031651, 0, 
104, 25, 55690, 5825.60572813791, 197.05565468951, 91.4476925839468, 0, 
104, 26, 5094, 6276.68021201413, 202.577995216842, 93.0889281507656, 0, 
104, 27, 26357, 4954.45263117957, 169.926772445566, 83.6709792465, 0, 
104, 28, 7166, 5035.13871057773, 184.129250418293, 96.1505721462462, 0, 
104, 31, 4108, 4375.55014605648, 197.884941829599, 105.70593962999, 0, 
104, 33, 55919, 10259.621488224, 259.624531658225, 172.576244210376, 0, 
104, 35, 3291, 10884.4548769371, 305.473900432242, 185.923427529626, 0, 
104, 36, 1891, 10865.8344791116, 285.177518510747, 179.179270227393, 0, 
104, 37, 78234, 9795.36578725362, 245.35453606489, 158.911483498223, 0, 
104, 38, 36436, 10159.554863322, 260.249608227753, 175.076435393567, 0, 
104, 40, 52088, 9907.43860390109, 265.495582294092, 161.376094301951, 0, 
104, 45, 46044, 10432.5285596386, 276.233544575321, 150.96609764573, 0, 
104, 52, 179922, 7715.45300741432, 235.508332989031, 103.456886873201, 0, 
104, 53, 78866, 7037.54020744047, 240.683904772261, 106.329761874572, 0, 
104, 62, 8624, 10659.2553339518, 274.445980846021, 179.079893320965, 0, 
104, 65, 12462, 5043.30372331889, 190.758261265985, 101.147488364628, 0, 
104, 79, 32523, 10481.2761737847, 274.086837016452, 151.718476155336, 0, 
104, 80, 42117, 9733.72913550348, 254.604321390833, 158.582710069568, 0, 
104, 88, 5372, 7797.64966492926, 242.275850897768, 112.370997766195, 0, 
105, 2, 10512, 11240.8574961948, 360.275287408281, 205.548040334855, 0, 
105, 3, 6756, 11160.3000296033, 359.261242667157, 212.599911190053, 0, 
105, 4, 22531, 10713.4546180818, 342.002407485708, 202.201988371577, 0, 
105, 5, 21273, 10668.4595496639, 331.05500263509, 189.227565458563, 0, 
105, 7, 51231, 9765.8031660518, 304.569661086817, 169.847650836408, 0, 
105, 8, 136297, 9720.49964415945, 298.833318897191, 173.423083413428, 0, 
105, 11, 115650, 9831.5015304799, 319.328914016903, 172.347003891051, 0, 
105, 12, 55809, 9928.45524915336, 319.730038901862, 177.270888207995, 0, 
105, 14, 1269169, 9988.63158885854, 329.723774381996, 155.973628413552, 0, 
105, 17, 931229, 9813.11594784956, 318.650321310125, 133.388714268993, 0, 
105, 20, 740833, 9726.21267006194, 298.51772258831, 122.649464859152, 0, 
105, 24, 31026, 6728.43673048411, 243.313244238487, 104.343743956681, 0, 
105, 25, 55690, 5780.24198240259, 216.903640905224, 95.825480337583, 0, 
105, 26, 5094, 6003.59776207303, 217.909457432928, 101.091676482136, 0, 
105, 27, 26357, 4899.66028000152, 188.014837170235, 87.9098911105209, 0, 
105, 28, 7166, 5056.60214903712, 207.641800937749, 100.363661735975, 0, 
105, 31, 4108, 4430.58252190847, 219.452660761629, 110.812317429406, 0, 
105, 33, 55919, 10100.2379870885, 318.502500246863, 181.651889339938, 0, 
105, 35, 3291, 10797.1759343665, 365.015802137976, 192.928289273777, 0, 
105, 36, 1891, 10763.3680592279, 348.620718752771, 187.991538868324, 0, 
105, 37, 78234, 9646.20668762942, 298.032221161713, 167.095227139096, 0, 
105, 38, 36436, 10019.1296245472, 316.593352103391, 183.065731693929, 0, 
105, 40, 52088, 9776.48233758255, 318.78590576765, 170.268660727999, 0, 
105, 45, 46044, 10262.2866823039, 324.366937167749, 159.562874641647, 0, 
105, 52, 179922, 7602.87918097842, 260.242383697983, 108.726553728838, 0, 
105, 53, 78866, 6967.11077016712, 263.465113430415, 111.656239697715, 0, 
105, 62, 8624, 10528.4092068646, 335.043500617251, 187.034554730983, 0, 
105, 65, 12462, 5064.71810303322, 214.396028621408, 105.868239447922, 0, 
105, 79, 32523, 10278.7552808781, 321.089604585962, 160.56793653722, 0, 
105, 80, 42117, 9499.0281596505, 299.449946841074, 168.5354844837, 0, 
105, 88, 5372, 7739.35722263589, 269.359096868164, 117.281273268801, 0, 
106, 2, 10512, 11093.9660388128, 305.141101402864, 198.338470319635, 0, 
106, 3, 6756, 11013.0993191237, 303.372584202531, 205.160746003552, 0, 
106, 4, 22531, 10563.9922773068, 287.588495341481, 195.237317473703, 0, 
106, 5, 21273, 10514.0019273257, 275.378177427362, 181.978047289992, 0, 
106, 7, 51231, 9597.15311042142, 251.545831813438, 163.091311900997, 0, 
106, 8, 136297, 9553.37370595097, 248.407458448525, 167.278384703992, 0, 
106, 11, 115650, 9673.86298313878, 264.8729547393, 165.116290531777, 0, 
106, 12, 55809, 9764.06681718002, 264.036271408603, 170.211399595047, 0, 
106, 14, 1269169, 9839.59396739126, 277.033233172477, 149.092984464638, 0, 
106, 17, 931229, 9658.85113650885, 269.608686590282, 126.878696861889, 0, 
106, 20, 740833, 9573.58582568541, 253.094118136882, 116.420206713254, 0, 
106, 24, 31026, 6653.98030683942, 213.197161817411, 100.58083542835, 0, 
106, 25, 55690, 5730.39613934279, 193.328579104733, 93.1455557550727, 0, 
106, 26, 5094, 5943.70946211229, 191.953079117356, 95.3472712995681, 0, 
106, 27, 26357, 4867.83981484994, 167.962713846874, 85.1870850248511, 0, 
106, 28, 7166, 5062.06754116662, 186.112037669869, 98.1048004465532, 0, 
106, 31, 4108, 4465.31134371957, 192.739385470511, 107.909688412853, 0, 
106, 33, 55919, 9947.89130706915, 264.701518863742, 174.409878574367, 0, 
106, 35, 3291, 10673.7626861136, 313.315464838309, 186.264053479186, 0, 
106, 36, 1891, 10630.6393442623, 291.443137480051, 180.95452141724, 0, 
106, 37, 78234, 9482.54283303934, 246.967038070277, 160.69295958279, 0, 
106, 38, 36436, 9869.81751564387, 264.53614794341, 176.132863102426, 0, 
106, 40, 52088, 9626.95426969743, 261.730773682664, 163.159153739825, 0, 
106, 45, 46044, 10080.4741551559, 267.014336955659, 152.200938232995, 0, 
106, 52, 179922, 7498.38015362213, 225.42093724374, 104.009198430431, 0, 
106, 53, 78866, 6894.23808738874, 231.924199804123, 107.785623716177, 0, 
106, 62, 8624, 10385.8936688312, 281.986152001869, 179.925208719852, 0, 
106, 65, 12462, 5074.4351628952, 190.960186225644, 103.370004814637, 0, 
106, 79, 32523, 10091.7122036712, 265.396500666646, 153.001414383667, 0, 
106, 80, 42117, 9328.5023149797, 248.074243308286, 160.890424294228, 0, 
106, 88, 5372, 7665.34288905436, 236.517856974566, 113.153387937453, 0, 
107, 2, 10512, 10947.1526826484, 301.398974133705, 193.185597412481, 0, 
107, 3, 6756, 10866.8947602131, 299.625133020747, 199.855387803434, 0, 
107, 4, 22531, 10416.3589276996, 284.048771699325, 190.35684168479, 0, 
107, 5, 21273, 10361.6299064542, 272.167167573069, 177.029191933437, 0, 
107, 7, 51231, 9431.98575081494, 248.956842898837, 158.617380101891, 0, 
107, 8, 136297, 9391.17718658518, 246.575496663547, 163.287915361307, 0, 
107, 11, 115650, 9519.73187202767, 262.533233904042, 160.34476437527, 0, 
107, 12, 55809, 9603.31634682578, 261.538778334084, 165.50400473042, 0, 
107, 14, 1269169, 9691.7750969335, 273.865764874935, 144.515266288414, 0, 
107, 17, 931229, 9504.80065483356, 265.786185940951, 122.541452209929, 0, 
107, 20, 740833, 9421.38991378624, 249.533924331593, 112.322346601731, 0, 
107, 24, 31026, 6580.01875846065, 211.593661954139, 98.1787533036808, 0, 
107, 25, 55690, 5681.19260190339, 192.843710348005, 91.5303286047764, 0, 
107, 26, 5094, 5885.05830388693, 191.12325380302, 91.9161758932077, 0, 
107, 27, 26357, 4836.8272565163, 167.757711829129, 83.5864476230224, 0, 
107, 28, 7166, 5067.1889478091, 186.713650344662, 96.8329612056936, 0, 
107, 31, 4108, 4500.63461538462, 194.292870707777, 106.376095423564, 0, 
107, 33, 55919, 9798.46728303439, 261.903435949258, 169.542659918811, 0, 
107, 35, 3291, 10551.1826192647, 310.386155930891, 181.694013977514, 0, 
107, 36, 1891, 10500.6092014807, 288.693408391646, 176.222633527234, 0, 
107, 37, 78234, 9323.1778510622, 244.58667742025, 156.444218626173, 0, 
107, 38, 36436, 9722.44664617411, 261.419201559934, 171.401031946427, 0, 
107, 40, 52088, 9479.77107971126, 258.890148608292, 158.369778067885, 0, 
107, 45, 46044, 9900.03474937017, 263.360101891514, 147.256450351837, 0, 
107, 52, 179922, 7393.91878147197, 222.759356200483, 100.883983059326, 0, 
