LandisData	"Dynamic Input Data"				
					
>>Year	Ecoregion	Species	ProbEst	MaxANPP	MaxB
>>____	_________	_______	_______	_______	____
0	35	PINUSTRO	0.913	958	28740
0	35	POPUGRAN	0.912	1409	42270
0	35	POPUTREM	0.901	1119	33570
0	35	PRUNPENS	0.905	1260	37800
0	35	PRUNSERO	0.456	1391	41730
0	35	QUERALBA	0.495	1304	39120
0	35	QUERRUBR	0.891	1032	30960
0	35	TILIAMER	0.742	1735	52050
0	35	TSUGCANA	0.833	407	12210
0	36	ABIEBALS	0.888	481	14430
0	36	ACERPENS	0.893	1173	11730
0	36	ACERRUBR	0.324	946	28380
0	36	ACERSACC	0.789	1278	38340
0	36	BETUALLE	0.981	1176	35280
0	36	BETULENT	0.634	1176	35280
0	36	BETUPAPY	0.614	1232	36960
0	36	CARYCORD	0.331	1358	40740
0	36	CARYOVAT	0.004	1358	40740
0	36	FAGUGRAN	0.339	1067	32010
0	36	FRAXAMER	0.338	1091	32730
0	36	PICEABIE	0.9	289	14450
0	36	PICERUBE	0.873	298	14900
0	36	PINURESI	0.845	320	9600
0	36	PINUSTRO	0.848	968	29040
0	36	POPUGRAN	0.847	1386	41580
0	36	POPUTREM	0.901	1106	33180
0	36	PRUNPENS	0.949	1234	37020
0	36	PRUNSERO	0.397	1371	41130
0	36	QUERALBA	0.432	1285	38550
0	36	QUERRUBR	0.833	1022	30660
0	36	TILIAMER	0.617	1704	51120
0	36	TSUGCANA	0.772	435	13050
0	37	ABIEBALS	0.898	515	15450
0	37	ACERPENS	0.854	1172	11720
0	37	ACERRUBR	0.283	944	28320
0	37	ACERSACC	0.722	1281	38430
0	37	BETUALLE	0.956	1177	35310
0	37	BETULENT	0.534	1177	35310
0	37	BETUPAPY	0.713	1235	37050
0	37	CARYCORD	0.271	1368	41040
0	37	CARYOVAT	0.005	1368	41040
0	37	FAGUGRAN	0.297	1067	32010
0	37	FRAXAMER	0.291	1090	32700
0	37	PICEABIE	0.896	310	15500
0	37	PICERUBE	0.887	319	15950
0	37	PINURESI	0.931	320	9600
0	37	PINUSTRO	0.795	975	29250
0	37	POPUGRAN	0.794	1391	41730
0	37	POPUTREM	0.901	1107	33210
0	37	PRUNPENS	0.974	1240	37200
0	37	PRUNSERO	0.353	1376	41280
0	37	QUERALBA	0.386	1289	38670
0	37	QUERRUBR	0.788	1021	30630
0	37	TILIAMER	0.519	1717	51510
0	37	TSUGCANA	0.726	464	13920
0	38	ABIEBALS	0.891	496	14880
0	38	ACERPENS	0.914	1177	11770
0	38	ACERRUBR	0.322	950	28500
0	38	ACERSACC	0.787	1279	38370
0	38	BETUALLE	0.983	1178	35340
0	38	BETULENT	0.631	1178	35340
0	38	BETUPAPY	0.624	1233	36990
0	38	CARYCORD	0.328	1356	40680
0	38	CARYOVAT	0	1356	40680
0	38	FAGUGRAN	0.344	1071	32130
0	38	FRAXAMER	0.335	1093	32790
0	38	PICEABIE	0.901	298	14900
0	38	PICERUBE	0.892	307	15350
0	38	PINURESI	0.859	325	9750
0	38	PINUSTRO	0.846	975	29250
0	38	POPUGRAN	0.845	1386	41580
0	38	POPUTREM	0.901	1108	33240
0	38	PRUNPENS	0.953	1233	36990
0	38	PRUNSERO	0.394	1371	41130
0	38	QUERALBA	0.43	1285	38550
0	38	QUERRUBR	0.832	1024	30720
0	38	TILIAMER	0.614	1702	51060
0	38	TSUGCANA	0.771	446	13380
0	40	ABIEBALS	0.9	522	15660
0	40	ACERPENS	0.793	1165	11650
0	40	ACERRUBR	0.257	937	28110
0	40	ACERSACC	0.673	1272	38160
